gene,pathway,HMM
acpS,fatty_acid_biosynthesis,TIGR00516.1.HMM
acpH,fatty_acid_biosynthesis,PF04336.hmm
fabD,fatty_acid_biosynthesis,TIGR00128.1.HMM
fabH,fatty_acid_biosynthesis,TIGR00747.1.HMM
fabB,fatty_acid_biosynthesis,PF00109.hmm
fabF,fatty_acid_biosynthesis,TIGR03150.1.HMM
fabI,fatty_acid_biosynthesis,PF13561.hmm
fabZ,fatty_acid_biosynthesis,TIGR01750.1.HMM
fabG,fatty_acid_biosynthesis,TIGR01830.1.HMM
secD,sec_translocon,TIGR01129.1.HMM
secF,sec_translocon,TIGR00966.2.HMM
yidC_C,sec_translocon,TIGR03593.1.HMM
yidC_N,sec_translocon,TIGR03592.1.HMM
secG,sec_translocon,TIGR00810.1.HMM
secY,sec_translocon,TIGR00967.1.HMM
secA,sec_translocon,TIGR00963.1.HMM
secE,sec_translocon,TIGR00964.1.HMM
yajC,sec_translocon,TIGR00739.1.HMM
ftsY,sec_translocon,TIGR00064.1.HMM
fabA,fatty_acid_biosynthesis,TIGR01749.1.HMM
fabM,fatty_acid_biosynthesis,PF00378.hmm
fabN,fatty_acid_biosynthesis,TIGR01750.1.HMM
fabO,fatty_acid_biosynthesis,-
#ychB,ychB,TIGR00154.1.HMM
#mreB,mreB,TIGR00904.1.HMM
#ompA,ompA,PF00691.hmm
gpsA_C,phospholipid_biosynthesis,PF07479.hmm
gpsA_N,phospholipid_biosynthesis,PF01210.hmm
plsB,phospholipid_biosynthesis,TIGR03703.1.HMM
plsC,phospholipid_biosynthesis,TIGR00530.1.HMM
cdsA,phospholipid_biosynthesis,PF01148.hmm
pgsA,phospholipid_biosynthesis,TIGR00560.1.HMM
pgpC,phospholipid_biosynthesis,TIGR01545.1.HMM
pgpB,phospholipid_biosynthesis,PF01569.hmm
pgpA,phospholipid_biosynthesis,PF04608.hmm
pssA,phospholipid_biosynthesis,PF13091.hmm
psd,phospholipid_biosynthesis,TIGR00163.1.HMM
clsC,phospholipid_biosynthesis,PF13091.hmm
bamA,bam_complex,TIGR03303.1.HMM
bamB,bam_complex,TIGR03300.1.HMM
bamC,bam_complex,PF06804.hmm
bamD,bam_complex,TIGR03302.1.HMM
bamE,bam_complex,PF04355.hmm
surA,bam_complex,PF09312.hmm
skp,bam_complex,PF03938.hmm
degP,bam_complex,TIGR02037.1.HMM
murA,peptidoglycan,TIGR01072.1.HMM
murB,peptidoglycan,TIGR00179.1.HMM
murI,peptidoglycan,TIGR00067.1.HMM
murC,peptidoglycan,TIGR01082.1.HMM
murE,peptidoglycan,TIGR01085.1.HMM
murF,peptidoglycan,TIGR01143.1.HMM
ddlA,peptidoglycan,TIGR01205.1.HMM
mraY,peptidoglycan,TIGR00445.1.HMM
murG,peptidoglycan,TIGR01133.1.HMM
murJ,peptidoglycan,TIGR01695.1.HMM
mrcA,peptidoglycan,TIGR02074.1.HMM
mrcB,peptidoglycan,TIGR02071.1.HMM
pbpC,peptidoglycan,TIGR02073.1.HMM
mtgA,peptidoglycan,TIGR02070.1.HMM
mrdB,peptidoglycan,TIGR02210.1.HMM
ftsW,peptidoglycan,TIGR02614.1.HMM
lpxA,lps,TIGR01852.1.HMM
lpxB,lps,TIGR00215.1.HMM
lpxC,lps,TIGR00325.1.HMM
lpxD,lps,TIGR01853.1.HMM
lpxH,lps,TIGR01854.1.HMM
lpxK,lps,TIGR00682.1.HMM
kdtA,lps,PF04413.hmm
lpxL,lps,TIGR02207.1.HMM
lpxM,lps,TIGR02208.1.HMM
msbA,lps,TIGR02203.1.HMM
lptA,lps,TIGR03002.1.HMM
lptB,lps,TIGR04406.1.HMM
lptC,lps,TIGR04409.1.HMM
lptD,lps,PF04453.hmm
lptE,lps,PF04390.hmm
lptF,lps,TIGR04407.1.HMM
lptG,lps,TIGR04408.1.HMM
