hmm	bitscore_cutoff	reaction	element_species
flavocytochrome_c_sulfide_dehydrogenase_fcc	266	sulfide-oxidation	sulfur
sulfide_quinone_oxidoreductase_sqr	300	sulfide-oxidation	sulfur
dissimilatory_sulfite_reductase_DsrD	50	sulfite-reduction	sulfur
dissimilatory_sulfite_reductase-sulfur_oxidation_dsrA	223	sulfur-oxidation	sulfur
dissimilatory_sulfite_reductase-sulfur_oxidation_dsrB	205	sulfur-oxidation	sulfur
sulfur_oxygenase_reductase_sor	300	sulfur-oxidation	sulfur
sulfur_dioxygenase_sdo	120	sulfur-oxidation	sulfur
thiosulfate_oxidation_soxB	375	thiosulfate-oxidation	sulfur
thiosulfate_oxidation_soxY	125	thiosulfate-oxidation	sulfur
thiosulfate_oxidation_soxC	330	thiosulfate-oxidation	sulfur
soxA	110	thiosulfate-oxidation	sulfur
soxX	61	thiosulfate-oxidation	sulfur
soxZ	76	thiosulfate-oxidation	sulfur
anaerobic_sulfite_reductase_asrA	223	sulfate-reduction	sulfur
anaerobic_sulfite_reductase_asrB	226	sulfate-reduction	sulfur
anaerobic_sulfite_reductase_asrC	194	sulfate-reduction	sulfur
adenylyl_sulfate_reductase_aprA	326	sulfate-reduction	sulfur
adenylyl_sulfate_kinase_sat_sopT	181	sulfate-reduction	sulfur
adenylyl_sulfate_kinase_cysC_apsK	133	sulfate-reduction	sulfur
Sulfate_andenyltransferase_CysN	327	sulfate-reduction	sulfur
thiosulfate_reductase_phsA	323	thiosulfate-disproportionation	sulfur
FeFe_hydrogenase_Group_B1B3	289	hydrogen-oxidation	hydrogen
FeFe_hydrogenase_Group_A	145	hydrogen-oxidation	hydrogen
Hydrogenase_Group_1	115	hydrogen-oxidation	hydrogen
Hydrogenase_Group_2a	90	hydrogen-oxidation	hydrogen
Hydrogenase_Group_2b	100	hydrogen-oxidation	hydrogen
Hydrogenase_Group_3a	105	hydrogen-oxidation	hydrogen
Hydrogenase_Group_3b	84	hydrogen-oxidation	hydrogen
Hydrogenase_Group_3c	80	hydrogen-oxidation	hydrogen
Hydrogenase_Group_3d	80	hydrogen-oxidation	hydrogen
Hydrogenase_Group_4	40	hydrogen-oxidation	hydrogen
particulate_methane_monooxygenase_pmoA	92	methane/ammonia-oxidation	methane
partiuclate_methane_monooxygenase_pmoB	202	methane/ammonia-oxidation	methane
partiuclate_methane_monooxygenase_pmoC	124	methane/ammonia-oxidation	methane
soluble_methane_monooxygenase_mmoB	70	methane-oxidation	methane
soluble_methane_monooxygenase_mmoD	80	methane-oxidation	methane
methyl_coenzymeM_reductase_mcrA	314	methane-production	methane
methyl_coenzymeM_reductase_mcrB	173	methane-production	methane
methyl_coenzymeM_reductase_mcrG	171	methane-production	methane
Fe_nitrogenase_alpha	873	N2-fixation	nitrogen
Fe_nitrogenase_beta	853	N2-fixation	nitrogen
Fe_nitrogenase_delta	124	N2-fixation	nitrogen
MoFe_nitrogenase_nifD	503	N2-fixation	nitrogen
MoFe_nitrogenase_nifK	414	N2-fixation	nitrogen
V_containing_nitrogenase_Alpha	822	N2-fixation	nitrogen
V_containing_nitrogenase_Beta	821	N2-fixation	nitrogen
V_containing_nitrogenase_Delta	122	N2-fixation	nitrogen
nitrogenase_nifH	261	N2-fixation	nitrogen
nitrite_oxidoreductase_nxrA	370	nitrite-oxidation	nitrogen
nitrite_oxidoreductase_nxrB	252	nitrite-oxidation	nitrogen
nitrate_reductase_napA	472	nitrate-reduction	nitrogen
nitrate_reductase_napB	23.9	nitrate-reduction	nitrogen
nitrate_reductase_narG	600	nitrate-reduction	nitrogen
nitrate_reductase_narH	348	nitrate-reduction	nitrogen
nitrite_reductase_nrfH	75	nitrite-reduction	nitrogen
nitrite_reductase_nrfA	576	nitrite-reduction	nitrogen
nitrite_reductase_nrfD	300	nitrite-reduction	nitrogen
nitrite_reductase_nirB	442	nitrite-reduction	nitrogen
nitrite_reductase_nirD	69	nitrite-reduction	nitrogen
nitrite_reductase_nirK	169	nitrite-reduction	nitrogen
nitrite_reductase_nirS	200	nitrite-reduction	nitrogen
nitric_oxide_reductase_norB	79	nitric-oxide-reduction	nitrogen
nitric_oxide_reductase_norC	50	nitric-oxide-reduction	nitrogen
nitrous_oxide_reductase_nosD	290	nitrous-oxide-reduction	nitrogen
nitrous_oxide_reductase_nosZ	550	nitrous-oxide-reduction	nitrogen
hydrazine_oxidase_hzoA	325	anammox	nitrogen
hydrazine_synthase_hzsA	466	anammox	nitrogen
CytCoxidase_aa3_coxA	617	oxygen-reduction	oxygen
