hmm	bitscore	desc
Proteorhodopsin	26	Proteorhodopsin	
Heliorhodopsin	32	Heliorhodopsin
Xantharhodopsin	26	Xantharhodopsin
Heliorhodopsin_Pfam	26.7	Heliorhodopsin
GpcrRhopsn4	23.7	Rhodopsin-like-GPCR-transmembrane-domain
Htr2	25	Htr2-transmembrane-domain-phototaxis
ASRT	25	Anabaena-sensory-rhodopsin-transducer
Bac_rhodopsin	23.5	Bacteriorhodopsin-like-protein
7tm_1	30.50	7-transmembrane-receptor-rho-family
Photo_RC	21.9	Photosynthetic-RC-protein
PsaA_PsaB	23.1	Photosystem-I-psaA-psaB-protein
PSII	25	Photosystem-II-protein
PCP	22.3	Peridinin-chlorophyll-A-binding-protein
Chloroa_b-bind	22.3	Chlorophyll-A-B-binding-protein
Bac_chlorC	25	Bacteriochlorophyll-C-binding-protein
BChl_A	25	Bacteriochlorophyll-A-protein
PsbH	23.7	Photosystem-II-phosphoprotein
LuxAB	23	Bacterial-luciferase-luxAB
LuxC	20	Acyl-CoA-reductase-luxC
LuxD	20.3	Acyl-transferase-luxD
LuxE	25	Acyl-protein-synthetase-luxE
LuxR	23.5	Bacterial-regulatory-protein-luxR
