hmm	bitscore_cutoff	reaction	element_species
1-cysPeroxiredoxin_Cterminal	18.8	hydroperoxide-reduction	ROS
Alkyl-hydroperoxide-reductase-ThiolSpecificAntioxidant	133	hydroperoxide-reduction	ROS
catalase-peroxidase	90	hydrogen-peroxide-reduction	ROS
Catalase	18.2	hydrogen-peroxide-decomposition	ROS
Catalase-rel-immune-response	38	hydrogen-peroxide-decomposition	ROS
CCP_MauG	122	hydrogen-peroxide-reduction	ROS
catalase_Dyp_perox	20.4	hydrogen-peroxide-reduction	ROS
catalase_Glutathione_peroxidase	39	hydrogen-peroxide-reduction	ROS
Sod_CuZn	19.3	superoxide-dismutation	ROS
SOD_FeMn_Cterminal	21.3	superoxide-dismutation	ROS
SOD_FeMn_Nterminal	20.3	superoxide-dismutation	ROS
Mn_catalase		20.80	hydrogen-peroxide-decomposition ROS

